coin,hype_score,sentiment_avg,sentiment_pct,mention_count,engagement_24h,news_count,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,volume_24h,trend_label,btc_signal,btc_confidence,timestamp
DOGE,80.2,0.699613,70.0,72.0,72.0,5.0,0.091441,-0.003755,-0.263985,-2.026182,1091892023.0,Rising,😐 HOLD,25,2026-03-31 23:22:40
SHIB,60.7,0.618945,61.9,96.0,96.0,5.0,6e-06,0.021028,-1.899055,-2.532656,116605797.0,Flat,😐 HOLD,25,2026-03-31 23:22:40
PEPE,50.2,0.679821,68.0,19.0,19.0,5.0,3e-06,-0.132162,0.79187,-1.160996,249312585.0,Flat,😐 HOLD,25,2026-03-31 23:22:40
GOAT,37.8,0.880558,88.1,6.0,6.0,5.0,0.017881,-1.142549,-3.298678,6.914871,5448965.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
WIF,37.1,0.623425,62.3,8.0,8.0,5.0,0.178382,0.014488,0.698311,-5.333158,50840609.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
DEGEN,32.7,0.581895,58.2,10.0,10.0,5.0,0.000683,0.363824,0.799014,-3.861319,979977.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
BONK,32.7,0.5617,56.2,8.0,8.0,5.0,6e-06,-0.389331,-0.112985,-2.110731,38189771.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
SATS,31.7,0.62119,62.1,5.0,5.0,5.0,0.0,0.606912,3.069213,-4.206697,2664524.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
TURBO,30.6,0.57908,57.9,5.0,5.0,5.0,0.001019,-0.421264,-0.154009,-7.36206,10945102.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
GIGA,29.7,0.558507,55.9,7.0,7.0,5.0,0.001884,0.974969,-8.269772,-6.30536,1531234.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
WEN,29.0,0.51759,51.8,5.0,5.0,5.0,5e-06,0.01606,-1.247432,-4.084252,208518.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
BABYDOGE,28.4,0.92955,93.0,1.0,1.0,1.0,0.0,0.07645,0.205277,-3.176491,3471192.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
$MYRO,27.5,0.9088,90.9,1.0,1.0,1.0,0.003043,-0.100757,-3.001794,-5.979178,425567.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
BRETT,27.4,0.4393,43.9,5.0,5.0,5.0,0.000138,-0.049271,-1.416584,-21.424221,399.22,Falling,❌ AVOID,15,2026-03-31 23:22:40
MOG,26.8,0.39727,39.7,5.0,5.0,5.0,0.0,-0.06335,-0.375041,-5.590257,8594601.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
BOME,26.4,0.82855,82.9,1.0,1.0,1.0,0.000379,0.087662,-0.846622,-7.652215,8420813.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
PNUT,25.8,0.6725,67.2,2.0,2.0,2.0,0.039467,0.418042,1.02267,-6.893105,9812009.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
FLOKI,24.5,0.389975,39.0,4.0,4.0,4.0,2.8e-05,-0.160376,-1.157926,-6.337653,20687468.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
POPCAT,18.7,0.5,50.0,0.0,0.0,0.0,0.049879,-0.358571,5.560817,-0.770737,18723660.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
AKITA,17.9,0.5,50.0,0.0,0.0,0.0,0.0,-0.075838,2.509521,-6.819844,140.06,Falling,❌ AVOID,15,2026-03-31 23:22:40
SAMO,17.8,0.5,50.0,0.0,0.0,0.0,0.0004,-0.225696,1.995696,-14.899836,70745.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
HOGE,17.8,0.5,50.0,0.0,0.0,0.0,4e-06,0.164626,2.016913,-5.687052,22.53,Falling,❌ AVOID,15,2026-03-31 23:22:40
COQ,17.7,0.5,50.0,0.0,0.0,0.0,0.0,0.349645,1.453731,-3.956966,1270894.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
FWOG,17.7,0.5,50.0,0.0,0.0,0.0,0.004973,0.421878,1.419861,-8.842112,885912.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
SUNDOG,17.7,0.5,50.0,0.0,0.0,0.0,0.00523,1.364792,0.943293,-8.144104,3702744.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
PONKE,17.5,0.5,50.0,0.0,0.0,0.0,0.027221,0.551699,-0.32869,-6.521324,2041779.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
WOLF,17.5,0.5,50.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,2.28,Falling,❌ AVOID,15,2026-03-31 23:22:40
KISHU,17.4,0.5,50.0,0.0,0.0,0.0,0.0,0.982641,-0.578699,-2.125079,64954.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
RETARDIO,17.3,0.5,50.0,0.0,0.0,0.0,0.001525,1.156104,-1.126733,-12.524978,613026.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
LADYS,16.8,0.5,50.0,0.0,0.0,0.0,0.0,-0.491063,-4.616052,-6.690173,1554758.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
SLERF,12.8,0.5,50.0,0.0,0.0,0.0,0.003593,-4.246756,-31.324843,-8.01648,38684.0,Falling,❌ AVOID,15,2026-03-31 23:22:40
